DateTime,Entries,UniqueIPs
1526326021,24215,51772
1526328250,24214,51771
1526329220,24216,51773
1526331242,24214,51771
1526331604,24215,51772
1526334391,24216,51773
1526337332,24133,51692
1526338888,24128,51685
1526340603,24101,51658
1526341914,24101,51658
1526344038,24101,51913
1526346063,24098,51910
1526346315,24060,51867
1526347887,24052,51861
1526350822,24057,51866
1526353203,24054,51863
1526356873,24777,52592
1526358031,24781,52596
1526358421,24798,52611
1526364003,24593,52408
1526364323,24594,52409
1526365460,24598,52413
1526366792,24599,52414
1526369402,24615,52432
1526371524,24499,52319
1526372411,24501,52321
1526372553,24503,52323
1526373995,24504,52324
1526378403,24180,51996
1526380021,24177,51999
1526380533,24178,52000
1526381191,24179,52001
1526383215,24180,52002
1526383803,24163,51985
1526385264,24159,51981
1526385918,24136,51956
1526387075,24137,51957
1526387407,24246,52025
1526388761,24250,52029
1526389713,24261,52040
1526391003,24247,52299
1526391916,24248,52300
1526392800,24245,52297
1526393717,24238,52545
1526394029,24248,52555
1526396404,24251,52558
1526398520,24252,52559
1526399196,24254,52561
1526400335,24266,52579
1526401225,24271,52584
1526401952,24316,52638
1526402771,24319,52131
1526407203,24318,52130
1526408427,24323,52135
1526411120,24324,52136
1526411726,24318,52136
1526412602,24328,52151
1526416271,24330,52153
1526417425,24329,52152
1526419803,24327,52148
1526422828,24330,52151
1526423221,24330,52154
1526427002,24307,52131
1526428229,24307,52131
1526429127,24308,52132
1526430412,24312,52136
1526433386,24313,52137
1526434203,24298,52133
1526437215,24301,52136
1526437804,24253,52073
1526439090,24252,52073
1526444419,24255,52076
1526445020,24135,51963
1526450100,24130,51958
1526451619,24133,51961
1526452203,24219,52047
1526455803,24162,51988
1526458822,24166,51992
1526459400,24105,51931
1526461202,24104,51930
1526466603,24052,51891
1526466930,24056,51895
1526469375,23950,51790
1526469803,23929,51769
1526471131,23932,51772
1526472327,23946,51786
1526473425,23952,51792
1526473803,23945,51784
1526473807,24054,51885
1526476581,24053,51884
1526476590,24054,51885
1526477053,24061,51892
1526477402,24068,51892
1526478389,24071,51895
1526480534,24074,51898
1526481000,24067,51891
1526482332,24059,51883
1526483122,24060,51884
1526488800,24069,51637
1526491222,24066,51635
1526492787,24067,51636
1526492927,24071,51640
1526494826,24076,51645
1526496000,24075,51644
1526499329,24026,51593
1526502031,24029,51596
1526503200,24031,51596
1526504083,24029,51594
1526506099,24029,51594
1526509226,24031,51596
1526509869,23984,51547
1526512200,23984,51547
1526512814,23953,51516
1526514627,23954,51517
1526515202,23958,51521
1526516151,23921,51480
1526516430,23922,51481
1526520737,23922,51486
1526523000,23971,51536
1526523621,23974,51539
1526525588,23972,51537
1526530200,23998,51570
1526530828,24004,51576
1526531401,24029,51604
1526533531,24030,51605
1526536803,24027,51602
1526537729,24021,51591
1526538028,24023,51593
1526542021,24020,51586
1526543173,24021,51587
1526544925,24024,51590
1526545222,24029,51595
1526547603,24027,51592
1526552126,24006,51571
1526552430,24009,51574
1526553002,24006,51579
1526556603,23983,51556
1526557397,23982,51556
1526559000,23986,51561
1526559766,23987,51562
1526560207,24078,51647
1526561170,24079,51648
1526562003,24081,51650
1526563226,24085,51654
1526564119,24132,51700
1526564416,24128,51696
1526564906,24138,51703
1526566200,24137,51712
1526566824,24140,51715
1526568587,24138,51713
1526570574,24139,52224
1526573400,24142,52228
1526574314,24144,52230
1526574421,24169,52253
1526578203,24168,51997
1526579530,24168,51996
1526580600,24173,51746
1526581226,24176,51749
1526585403,24203,51763
1526587800,24203,51765
1526588569,24207,51769
1526590287,24205,51767
1526591128,24206,51768
1526595000,24208,51770
1526595623,24209,51771
1526596021,24151,51709
1526599802,24083,51641
1526601336,24079,51637
1526603727,24080,51638
1526606120,24024,51565
1526607004,23997,51549
1526610287,23998,51550
1526612403,23996,51548
1526613000,24083,51639
1526617218,24088,51644
1526617882,24100,51661
1526620200,24086,51644
1526623472,24087,51645
1526624570,24090,51648
1526627735,24063,51620
1526628602,24069,51622
1526629600,24071,51624
1526631369,24072,51625
1526634003,24071,51624
1526634926,24062,51615
1526639153,24067,51621
1526639403,24066,51617
1526642121,24077,51650
1526642177,24078,51651
1526643002,24054,51627
1526644048,24056,51629
1526645128,24065,51638
1526646936,24054,51610
1526647527,24177,51719
1526650202,24195,51740
1526651769,24203,51748
1526653221,24223,51767
1526653230,24227,51773
1526653800,24229,51775
1526653802,24229,51520
1526654702,24229,51520
1526660439,24232,51523
1526661000,24234,51525
1526661003,24234,51780
1526664758,24233,51779
1526667317,24282,51824
1526667854,24284,51826
1526668202,24286,51828
1526669167,24287,51829
1526674519,24286,52083
1526674830,24291,52088
1526675402,24336,52135
1526676368,24335,52134
1526679579,24334,52388
1526682037,24333,52387
1526685348,24332,52386
1526685630,24308,52362
1526686021,24272,52318
1526689234,24277,52324
1526692800,20977,48953
1526695712,24731,52771
1526696432,24736,52779
1526697069,24783,52833
1526700000,24748,52799
1526703639,24754,52805
1526707231,24533,52583
1526707802,24541,52591
1526709671,24542,52592
1526710843,24545,52596
1526714400,24450,52501
1526718023,24459,52510
1526718421,24460,52508
1526721600,24366,52415
1526725227,24366,52415
1526729003,24358,52408
1526729408,24315,52356
1526732565,24324,52365
1526733974,24436,52463
1526736045,24444,52471
1526738766,24445,52472
1526739631,24450,52477
1526740294,24442,52469
1526741789,24462,52488
1526743800,24467,52493
1526746831,24469,52495
1526747403,24468,52493
1526751003,24485,52516
1526752228,24486,52517
1526754036,24487,52518
1526754932,24488,52519
1526760072,24489,52520
1526761237,24488,52519
1526761802,24614,52642
1526763023,24615,52643
1526765402,24618,52646
1526768431,24619,52647
1526772421,24609,52632
1526772932,24606,52629
1526775638,24603,52638
1526776202,24556,52581
1526783271,24556,52581
1526783731,24538,52568
1526789768,24539,52569
1526790037,24543,52573
1526790600,24791,52824
1526794325,24871,52902
1526797233,24874,52905
1526797800,24644,52671
1526804425,24645,52672
1526805000,24649,52672
1526805325,24650,52673
1526812535,24656,52695
1526814980,24657,52696
1526816137,24631,52670
1526817937,24638,52677
1526818831,24643,52682
1526819488,24626,52160
